ringno_season,yday,yday200,pfmg,sex
CV68324_2017-2018,364,164,0.19824999999999998,unknown
CV43324_2007-2008,98,263,1,unknown
CV15041_2018-2019,55,220,0.8935000000000001,unknown
CV09341_2009-2010,331,131,0,unknown
CV56113_2009-2010,84,249,1,unknown
CV58548_2012-2013,301,101,0.042625,unknown
CV56912_2010-2011,29,194,0.518875,unknown
CV69855_2018-2019,61,226,0.841875,unknown
CC46235_2019-2020,346,146,0.518875,unknown
CV68326_2017-2018,364,164,0.042625,unknown
CV68321_2017-2018,364,164,0.17600000000000002,unknown
CV56841_2010-2011,355,155,0.24650000000000002,unknown
CC46210_2019-2020,345,145,0.2965,unknown
CV69734_2018-2019,359,159,1,unknown
CC03591_2019-2020,344,144,0.2965,unknown
CV43338_2007-2008,100,265,1,unknown
CV69786_2018-2019,51,216,1,unknown
CV68118_2016-2017,42,207,0,unknown
CV58891_2015-2016,347,147,0,unknown
CV56858_2010-2011,358,158,0.8795000000000001,unknown
CA49852_2021-2022,355,155,0,unknown
CC46237_2019-2020,346,146,0.042625,unknown
CV56672_2019-2020,342,142,0.235375,unknown
CA49830_2021-2022,331,131,0.6415000000000001,unknown
CV46631_2008-2009,287,87,0,unknown
CC46217_2019-2020,345,145,0.32225000000000004,unknown
CC15968_2003-2004,276,76,1,unknown
CC46209_2019-2020,345,145,0.042625,unknown
CV69685_2018-2019,314,114,0.2965,unknown
CV56299_2009-2010,193,358,0,unknown
CV31184_2006-2007,343,143,0,unknown
CC46245_2019-2020,346,146,0.285375,unknown
CV56092_2009-2010,103,268,0.832125,unknown
CC46147_2019-2020,346,146,0.261125,unknown
BD26223_2021-2022,355,155,0.08987500000000001,unknown
CV42954_2007-2008,9,174,0,unknown
CV46900_2008-2009,44,209,0.549625,unknown
CV58580_2012-2013,365,165,1,unknown
CV56897_2010-2011,15,180,0.431375,unknown
CV46729_2008-2009,312,112,0.14125,unknown
CC46268_2019-2020,346,146,0,unknown
CV69726_2018-2019,342,142,1,unknown
CV43288_2007-2008,93,258,1,unknown
CV27632_2003-2004,324,124,1,unknown
CV56644_2019-2020,339,139,0.41575,unknown
CA49870_2021-2022,355,155,0.24650000000000002,unknown
CA49827_2021-2022,331,131,0.2965,unknown
CV53864_2009-2010,364,164,0,unknown
CV31190_2006-2007,348,148,0.27075,unknown
CV56159_2009-2010,145,310,1,unknown
CC40213_2020-2021,266,66,0,unknown
